pt,session_id,start,end,TagId,TagLat,TagLng,Collar Type,,,
1,1,1/7/2022 11:00,1/7/2022 11:12,2D2A1E55,38.493538,-106.013764,predator,,,
1,2,1/7/2022 11:00,1/7/2022 11:12,52344C2D,38.493538,-106.013764,predator,,,
1,3,1/7/2022 11:00,1/7/2022 11:12,33343466,38.493538,-106.013764,predator,,,
1,4,1/7/2022 11:00,1/7/2022 11:12,52551E33,38.493538,-106.013764,rabbit new,,,
1,5,1/7/2022 11:00,1/7/2022 11:12,332A2D4B,38.493538,-106.013764,rabbit new,,,
1,6,1/7/2022 11:00,1/7/2022 11:12,78782A4B,38.493538,-106.013764,rabbit new,,,
1,7,1/7/2022 11:00,1/7/2022 11:12,2D191E2D,38.493538,-106.013764,rabbit,,,
1,8,1/7/2022 11:00,1/7/2022 11:12,614B4B78,38.493538,-106.013764,rabbit,,,
1,9,1/7/2022 11:00,1/7/2022 11:12,4B076661,38.493538,-106.013764,turkey,,,
2,10,1/7/2022 11:17,1/7/2022 11:24,2D2A1E55,38.494285,-106.01222,predator,,,
2,11,1/7/2022 11:17,1/7/2022 11:24,52344C2D,38.494285,-106.01222,predator,,,
2,12,1/7/2022 11:17,1/7/2022 11:24,33343466,38.494285,-106.01222,predator,,,
2,13,1/7/2022 11:17,1/7/2022 11:24,52551E33,38.494285,-106.01222,rabbit new,,,
2,14,1/7/2022 11:17,1/7/2022 11:24,332A2D4B,38.494285,-106.01222,rabbit new,,,
2,15,1/7/2022 11:17,1/7/2022 11:24,78782A4B,38.494285,-106.01222,rabbit new,,,
2,16,1/7/2022 11:17,1/7/2022 11:24,2D191E2D,38.494285,-106.01222,rabbit,,,
2,17,1/7/2022 11:17,1/7/2022 11:24,614B4B78,38.494285,-106.01222,rabbit,,,
2,18,1/7/2022 11:17,1/7/2022 11:24,4B076661,38.494285,-106.01222,turkey,,,
3,19,1/7/2022 11:29,1/7/2022 11:36,2D2A1E55,38.49543,-106.013256,predator,,,
3,20,1/7/2022 11:29,1/7/2022 11:36,52344C2D,38.49543,-106.013256,predator,,,
3,21,1/7/2022 11:29,1/7/2022 11:36,33343466,38.49543,-106.013256,predator,,,
3,22,1/7/2022 11:29,1/7/2022 11:36,52551E33,38.49543,-106.013256,rabbit new,,,
3,23,1/7/2022 11:29,1/7/2022 11:36,332A2D4B,38.49543,-106.013256,rabbit new,,,
3,24,1/7/2022 11:29,1/7/2022 11:36,78782A4B,38.49543,-106.013256,rabbit new,,,
3,25,1/7/2022 11:29,1/7/2022 11:36,2D191E2D,38.49543,-106.013256,rabbit,,,
3,26,1/7/2022 11:29,1/7/2022 11:36,614B4B78,38.49543,-106.013256,rabbit,,,
3,27,1/7/2022 11:29,1/7/2022 11:36,4B076661,38.49543,-106.013256,turkey,,,
4,28,1/7/2022 11:40,1/7/2022 11:48,2D2A1E55,38.494746,-106.014426,predator,,,
4,29,1/7/2022 11:40,1/7/2022 11:48,52344C2D,38.494746,-106.014426,predator,,,
4,30,1/7/2022 11:40,1/7/2022 11:48,33343466,38.494746,-106.014426,predator,,,
4,31,1/7/2022 11:40,1/7/2022 11:48,52551E33,38.494746,-106.014426,rabbit new,,,
4,32,1/7/2022 11:40,1/7/2022 11:48,332A2D4B,38.494746,-106.014426,rabbit new,,,
4,33,1/7/2022 11:40,1/7/2022 11:48,78782A4B,38.494746,-106.014426,rabbit new,,,
4,34,1/7/2022 11:40,1/7/2022 11:48,2D191E2D,38.494746,-106.014426,rabbit,,,
4,35,1/7/2022 11:40,1/7/2022 11:48,614B4B78,38.494746,-106.014426,rabbit,,,
4,36,1/7/2022 11:40,1/7/2022 11:48,4B076661,38.494746,-106.014426,turkey,,,
5,37,1/7/2022 11:53,1/7/2022 12:00,2D2A1E55,38.494969,-106.015645,predator,,,
5,38,1/7/2022 11:53,1/7/2022 12:00,52344C2D,38.494969,-106.015645,predator,,,
5,39,1/7/2022 11:53,1/7/2022 12:00,33343466,38.494969,-106.015645,predator,,,
5,40,1/7/2022 11:53,1/7/2022 12:00,52551E33,38.494969,-106.015645,rabbit new,,,
5,41,1/7/2022 11:53,1/7/2022 12:00,332A2D4B,38.494969,-106.015645,rabbit new,,,
5,42,1/7/2022 11:53,1/7/2022 12:00,78782A4B,38.494969,-106.015645,rabbit new,,,
5,43,1/7/2022 11:53,1/7/2022 12:00,2D191E2D,38.494969,-106.015645,rabbit,,,
5,44,1/7/2022 11:53,1/7/2022 12:00,614B4B78,38.494969,-106.015645,rabbit,,,
5,45,1/7/2022 11:53,1/7/2022 12:00,4B076661,38.494969,-106.015645,turkey,,,
6,46,1/7/2022 12:04,1/7/2022 12:13,2D2A1E55,38.496039,-106.015913,predator,,,
6,47,1/7/2022 12:04,1/7/2022 12:13,52344C2D,38.496039,-106.015913,predator,,,
6,48,1/7/2022 12:04,1/7/2022 12:13,33343466,38.496039,-106.015913,predator,,,
6,49,1/7/2022 12:04,1/7/2022 12:13,52551E33,38.496039,-106.015913,rabbit new,,,
